#No.   Fermi energy(eV)   SHC((hbar/e)*S/cm)
   1    -7.000000   -0.86228576E+02
   2    -6.950000   -0.11350228E+03
   3    -6.900000   -0.92239596E+02
   4    -6.850000   -0.50622133E+02
   5    -6.800000   -0.61883236E+02
   6    -6.750000   -0.83878494E+02
   7    -6.700000   -0.86688271E+02
   8    -6.650000   -0.78432798E+02
   9    -6.600000   -0.99277557E+02
  10    -6.550000   -0.11550485E+03
  11    -6.500000   -0.10953547E+03
  12    -6.450000   -0.11384943E+03
  13    -6.400000   -0.13574473E+03
  14    -6.350000   -0.14396443E+03
  15    -6.300000   -0.15790975E+03
  16    -6.250000   -0.15144013E+03
  17    -6.200000   -0.18537799E+03
  18    -6.150000   -0.20295373E+03
  19    -6.100000   -0.23220217E+03
  20    -6.050000   -0.26278248E+03
  21    -6.000000   -0.30207921E+03
  22    -5.950000   -0.33950797E+03
  23    -5.900000   -0.34078266E+03
  24    -5.850000   -0.38889243E+03
  25    -5.800000   -0.41545042E+03
  26    -5.750000   -0.47576232E+03
  27    -5.700000   -0.54504188E+03
  28    -5.650000   -0.64824700E+03
  29    -5.600000   -0.75935406E+03
  30    -5.550000   -0.87363347E+03
  31    -5.500000   -0.91129248E+03
  32    -5.450000   -0.97490868E+03
  33    -5.400000   -0.96609045E+03
  34    -5.350000   -0.92913774E+03
  35    -5.300000   -0.84089035E+03
  36    -5.250000   -0.85103949E+03
  37    -5.200000   -0.88638528E+03
  38    -5.150000   -0.95876158E+03
  39    -5.100000   -0.10013317E+04
  40    -5.050000   -0.10578937E+04
  41    -5.000000   -0.11522582E+04
  42    -4.950000   -0.12289095E+04
  43    -4.900000   -0.12550227E+04
  44    -4.850000   -0.12660271E+04
  45    -4.800000   -0.12371426E+04
  46    -4.750000   -0.12564959E+04
  47    -4.700000   -0.12767608E+04
  48    -4.650000   -0.13423667E+04
  49    -4.600000   -0.14062702E+04
  50    -4.550000   -0.15396743E+04
  51    -4.500000   -0.16394978E+04
  52    -4.450000   -0.17029657E+04
  53    -4.400000   -0.17941412E+04
  54    -4.350000   -0.18308729E+04
  55    -4.300000   -0.17912195E+04
  56    -4.250000   -0.16736125E+04
  57    -4.200000   -0.15532870E+04
  58    -4.150000   -0.14471876E+04
  59    -4.100000   -0.13397015E+04
  60    -4.050000   -0.13518243E+04
  61    -4.000000   -0.13657102E+04
  62    -3.950000   -0.13685007E+04
  63    -3.900000   -0.13847427E+04
  64    -3.850000   -0.13968234E+04
  65    -3.800000   -0.13613873E+04
  66    -3.750000   -0.13599028E+04
